ACC,F1 macro,F1 micro,F1 weighted,Feature Selection,Features,Features with FS,Hyperparameter estimation,Model,Model Params,Outliers,Outliers records,Recall macro,Recall micro,Recall weighted,Records
0.4825,0.39668072688273154,0.4825,0.5806612511196039,cor,21.0,21.0,nothing,AdaBoost,"AdaBoostClassifier(algorithm='SAMME.R', base_estimator=None, learning_rate=1.0,
                   n_estimators=50, random_state=None)",iqr,387.0,0.6452169625246549,0.4825,0.4825,1999.0
0.71,0.6864688552188551,0.7100000000000001,0.7268181818181817,cor,21.0,21.0,randomized search,AdaBoost,"AdaBoostClassifier(algorithm='SAMME', base_estimator=None, learning_rate=0.05,
                   n_estimators=119, random_state=None)",iqr,387.0,0.7019654528478059,0.71,0.71,1999.0
0.71,0.6873960049291907,0.7100000000000001,0.7259941944731767,cor,21.0,21.0,grid search,AdaBoost,"AdaBoostClassifier(algorithm='SAMME', base_estimator=None, learning_rate=0.05,
                   n_estimators=61, random_state=None)",iqr,387.0,0.705857142857143,0.71,0.71,1999.0
0.81,0.8094357473807018,0.81,0.8077650733589309,cor,21.0,21.0,nothing,Decision Tree,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=5,
                       max_features=None, max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=None, splitter='best')",iqr,387.0,0.8194046182849222,0.81,0.81,1999.0
0.355,0.29001159428337253,0.35500000000000004,0.41842495794733503,cor,21.0,21.0,randomized search,Decision Tree,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=50,
                       max_features='log2', max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=210,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=None, splitter='best')",iqr,387.0,0.26255510014693373,0.355,0.355,1999.0
0.4075,0.40147964655665375,0.4075,0.40274271492442915,cor,21.0,21.0,grid search,Decision Tree,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=9,
                       max_features='sqrt', max_leaf_nodes=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=30,
                       min_weight_fraction_leaf=0.0, presort=False,
                       random_state=None, splitter='best')",iqr,387.0,0.426191632461691,0.4075,0.4075,1999.0
0.4675,0.458373668632276,0.4675,0.47248922978686664,cor,21.0,21.0,nothing,Extra Trees,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
                     max_depth=None, max_features=2, max_leaf_nodes=None,
                     min_impurity_decrease=0.0, min_impurity_split=None,
                     min_samples_leaf=1, min_samples_split=2,
                     min_weight_fraction_leaf=0.0, n_estimators=5, n_jobs=None,
                     oob_score=False, random_state=None, verbose=0,
                     warm_start=False)",iqr,387.0,0.4952837664531168,0.4675,0.4675,1999.0
0.61,0.6089534784331208,0.61,0.6067296131462836,cor,21.0,21.0,randomized search,Extra Trees,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='gini',
                     max_depth=None, max_features=2, max_leaf_nodes=None,
                     min_impurity_decrease=0.0, min_impurity_split=None,
                     min_samples_leaf=1, min_samples_split=2,
                     min_weight_fraction_leaf=0.0, n_estimators=45, n_jobs=None,
                     oob_score=False, random_state=None, verbose=0,
                     warm_start=False)",iqr,387.0,0.6458633315938576,0.61,0.61,1999.0
0.5975,0.5931430882418118,0.5975,0.5978917253911271,cor,21.0,21.0,grid search,Extra Trees,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='gini',
                     max_depth=None, max_features=2, max_leaf_nodes=None,
                     min_impurity_decrease=0.0, min_impurity_split=None,
                     min_samples_leaf=1, min_samples_split=2,
                     min_weight_fraction_leaf=0.0, n_estimators=24, n_jobs=None,
                     oob_score=False, random_state=None, verbose=0,
                     warm_start=False)",iqr,387.0,0.600276783454115,0.5975,0.5975,1999.0
0.89,0.88871371048171,0.89,0.8889752173828631,cor,21.0,21.0,nothing,Nearest Neighbors,"KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=None, n_neighbors=5, p=2,
                     weights='uniform')",iqr,387.0,0.8926203027305551,0.89,0.89,1999.0
